|papel|DENOM_COMERC                                            |div_yield|atuacao                       |segmento_listagem|cresc_rec_cinco_anos|reclameaquinota|reclameaquitexto|patrim_liq     |
|-----|--------------------------------------------------------|---------|------------------------------|-----------------|--------------------|---------------|----------------|---------------|
|BBAS3|BANCO DO BRASIL S.A.                                    |0.0793   |Bancos                        |Novo Mercado     |0.2434              |8              |Ótimo           |163,638,000,000|
|ELET3|ELETROBRAS                                              |0.0051   |Energia - Distribuição        |Nível 1          |0.1938              |na             |na              |113,118,000,000|
|ELET5|ELETROBRAS                                              |0        |Energia - Distribuição        |Nível 1          |0.1938              |na             |na              |113,118,000,000|
|CEBR3|CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA                  |0.131    |Energia - Distribuição        |Tradicional      |-0.4474             |7.9            |Bom             |1,045,450,000  |
|CEBR5|CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA                  |0.141    |Energia - Distribuição        |Tradicional      |-0.4474             |7.9            |Bom             |1,045,450,000  |
|ARML3|na                                                      |0.0187   |na                            |na               |1.8464              |-1             |na              |1,213,290,000  |
|TELB3|TELEBRAS                                                |0        |Telecomunicações              |Tradicional      |0.5875              |na             |na              |1,586,870,000  |
|TELB4|TELEBRAS                                                |0        |Telecomunicações              |Tradicional      |0.5875              |na             |na              |1,586,870,000  |
|ATOM3|ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.               |0.1686   |Mercado Financeiro            |Tradicional      |0.1939              |8.4            |Ótimo           |16,924,000     |
|AMER3|AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL               |0        |Varejo - Geral                |Novo Mercado     |0.3625              |8.9            |Ótimo           |-31,185,000,000|
|ENGI3|ENERGISA                                                |0.0271   |Energia - Distribuição        |Nível 2          |0.1147              |5.1            |Ruim            |12,045,000,000 |
|ENGI4|ENERGISA                                                |0.0525   |Energia - Distribuição        |Nível 2          |0.1147              |5.1            |Ruim            |12,045,000,000 |
|CIEL3|CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO                   |0.053    |Meios de Pagamento            |Novo Mercado     |-0.0803             |8.9            |Ótimo           |12,258,800,000 |
|NEOE3|NEOENERGIA S.A.                                         |0.0611   |Energia - Distribuição        |Novo Mercado     |0.125               |na             |na              |29,866,000,000 |
|LIPR3|ELETROPAR                                               |0.0363   |Holding                       |Tradicional      |0                   |na             |na              |215,774,000    |
|GFSA3|GAFISA                                                  |0        |Construção                    |Novo Mercado     |0.3132              |6.1            |Regular         |1,687,910,000  |
|FIGE3|INVESTIMENTOS BEMGE                                     |0.0032   |Financeira                    |Tradicional      |0.1815              |na             |na              |160,202,000    |
|FIGE4|INVESTIMENTOS BEMGE                                     |0.0011   |Financeira                    |Tradicional      |0.1815              |na             |na              |160,202,000    |
|SEQL3|na                                                      |0        |Logística e Rodoviário        |Novo Mercado     |-0.1483             |5.4            |Ruim            |126,809,000    |
|BRFS3|BRF S.A.                                                |0        |Alimentos - Carnes e Derivados|Novo Mercado     |0.1336              |7.8            |Bom             |14,923,400,000 |
|CSUD3|CSU DIGITAL S.A.                                        |0.0515   |Software                      |Novo Mercado     |0.0628              |na             |na              |412,720,000    |
|PEAB3|CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA                  |0.0048   |Holding                       |na               |-0.4146             |na             |na              |690,575,000    |
|PEAB4|CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA                  |0.0046   |Holding                       |na               |-0.4146             |na             |na              |690,575,000    |
|PSSA3|PORTO SEGURO SA                                         |0.0494   |Seguros                       |Novo Mercado     |0.1693              |7.5            |Bom             |12,415,300,000 |
|DEXP3|DEXXOS PARTICPAÇÕES S.A.                                |0.0298   |Químicos                      |Nível 1          |0.2846              |na             |na              |690,501,000    |
|DEXP4|DEXXOS PARTICPAÇÕES S.A.                                |0.0369   |Químicos                      |Nível 1          |0.2846              |na             |na              |690,501,000    |
|FIQE3|na                                                      |0.0516   |na                            |na               |0.3324              |-1             |na              |1,079,370,000  |
|EMAE4|EMAE                                                    |0.0506   |Energia - Geração             |Tradicional      |0.0739              |na             |na              |1,159,060,000  |
|EKTR3|ELEKTRO REDES S.A.                                      |0.1014   |Energia - Distribuição        |Tradicional      |0.0732              |8.4            |Ótimo           |2,999,000,000  |
|EKTR4|ELEKTRO REDES S.A.                                      |0.106    |Energia - Distribuição        |Tradicional      |0.0732              |8.4            |Ótimo           |2,999,000,000  |
|TGMA3|TEGMA GESTÃO LOGÍSTICA SA                               |0.0638   |Logística e Rodoviário        |Novo Mercado     |0.0454              |na             |na              |819,533,000    |
|LWSA3|LOCAWEB SERVIÇOS DE INTERNET S.A.                       |0.0094   |Serviços Diversos             |Novo Mercado     |0.417               |8.5            |Ótimo           |2,921,510,000  |
|PDTC3|--                                                      |0        |Holding                       |na               |0.5748              |na             |na              |153,248,000    |
|RAIL3|ALL - AMÉRICA LATINA LOGÍSTICA S.A.                     |0.0029   |Logística e Ferroviário       |Novo Mercado     |0.1129              |na             |na              |15,936,700,000 |
|TIMS3|TIM S.A.                                                |0.05     |Telecomunicações              |Novo Mercado     |0.089               |8.3            |Ótimo           |26,015,900,000 |
|CPFE3|CPFL ENERGIA S.A.                                       |0.0815   |Energia - Distribuição        |Novo Mercado     |0.1003              |7.7            |Bom             |18,172,700,000 |
|EGIE3|TRACTEBEL ENERGIA                                       |0.069    |Energia - Geração             |na               |0.0156              |na             |na              |8,862,770,000  |
|VIVT3|TELEFÔNICA BRASIL                                       |0.0369   |Telecomunicações              |Tradicional      |0.0443              |0              |Não Recomendada |69,566,800,000 |
|STBP3|SANTOS BRASIL PARTICIPAÇÕES S.A.                        |0.0419   |Logística e Portuário         |Novo Mercado     |0.2395              |na             |na              |2,191,630,000  |
|COGN3|KROTON EDUCACIONAL S.A.                                 |0        |Educação                      |Novo Mercado     |-0.0635             |7              |Bom             |12,083,300,000 |
|CCRO3|CCR S.A.                                                |0.014    |Exploração de Rodovias        |Novo Mercado     |0.2001              |5.3            |Ruim            |12,462,200,000 |
|SHOW3|T4F ENTRETENIMENTO SA                                   |0        |Entretenimento                |Novo Mercado     |0.0373              |5.2            |Ruim            |152,904,000    |
|JBSS3|JBS SA                                                  |0.0434   |Alimentos - Carnes e Derivados|Novo Mercado     |0.1785              |9.4            |Ótimo           |41,972,500,000 |
|HYPE3|HYPERA PHARMA S/A                                       |0.0434   |Medicamentos                  |Novo Mercado     |0.2736              |6.9            |Regular         |11,388,400,000 |
|PDGR3|PDG REALTY SA EMPREENDIMENTOS E PARTS                   |0        |Construção                    |Novo Mercado     |-0.0088             |7.1            |Bom             |-5,380,590,000 |
|GEPA3|DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA                 |0.0733   |Energia - Geração             |na               |-0.0044             |na             |na              |0              |
|GEPA4|DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA                 |0.0756   |Energia - Geração             |na               |-0.0044             |na             |na              |0              |
|TRPL3|CTEEP                                                   |0.0671   |Energia - Transmissão         |Nível 1          |0.1796              |na             |na              |17,380,100,000 |
|TRPL4|CTEEP                                                   |0.0854   |Energia - Transmissão         |Nível 1          |0.1796              |na             |na              |17,380,100,000 |
|TPIS3|TPI                                                     |0.0465   |Exploração de Rodovias        |Novo Mercado     |0.0095              |na             |na              |858,180,000    |
|EQTL3|EQUATORIAL ENERGIA S/A                                  |0.0101   |Energia - Distribuição        |Novo Mercado     |0.2305              |6.9            |Regular         |19,573,900,000 |
|DTCY3|DTCOM                                                   |0        |Educação                      |Tradicional      |-0.1658             |na             |na              |-1,655,000     |
|RECV3|na                                                      |0.043    |na                            |na               |0.1679              |-1             |na              |4,429,210,000  |
|LIGT3|LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL                    |0        |Energia - Distribuição        |Novo Mercado     |0.0232              |6.2            |Regular         |3,048,560,000  |
|ENMT3|ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.    |0.047    |Energia - Distribuição        |Tradicional      |0.1393              |5.1            |Ruim            |3,549,160,000  |
|ENMT4|ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.    |0.0473   |Energia - Distribuição        |Tradicional      |0.1393              |5.1            |Ruim            |3,549,160,000  |
|CLSA3|na                                                      |0        |na                            |na               |0.0643              |-1             |na              |716,090,000    |
|BRAP3|BRADESPAR S/A                                           |0.1366   |Holding                       |na               |0                   |na             |na              |8,023,720,000  |
|BRAP4|BRADESPAR S/A                                           |0.1425   |Holding                       |na               |0                   |na             |na              |8,023,720,000  |
|MRFG3|MARFRIG                                                 |0        |Alimentos - Carnes e Derivados|na               |0.3266              |8.7            |Ótimo           |6,129,530,000  |
|ATMP3|ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL         |0        |Holding                       |Tradicional      |-0.1991             |0              |Não Recomendada |-16,770,000    |
|ECOR3|ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.             |0.0091   |Exploração de Rodovias        |na               |0.2026              |na             |na              |2,755,580,000  |
|ENEV3|ENEVA SA                                                |0        |Energia - Geração             |Novo Mercado     |0.359               |na             |na              |12,943,500,000 |
|BIOM3|BIOMM SA                                                |0        |Medicamentos                  |Bovespa Mais     |1.0878              |na             |na              |99,012,000     |
|FRIO3|METALFRIO SOLUTIONS S/A                                 |0        |Máquinas e Equipamentos       |na               |0.1006              |7.6            |Bom             |-439,858,000   |
|EQPA3|EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.           |0.0186   |Energia - Distribuição        |Tradicional      |0.1791              |6.9            |Regular         |4,452,730,000  |
|EQPA5|EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.           |0.0198   |Energia - Distribuição        |Tradicional      |0.1791              |6.9            |Regular         |4,452,730,000  |
|BAZA3|BANCO DA AMAZONIA S.A.                                  |0.0607   |Bancos                        |Tradicional      |0.3296              |na             |na              |5,811,580,000  |
|BPAR3|BANPARÁ S.A.                                            |0        |Bancos                        |Tradicional      |0.0242              |7.2            |Bom             |1,843,240,000  |
|SEER3|na                                                      |0        |Educação                      |Novo Mercado     |0.102               |5.6            |Ruim            |1,203,790,000  |
|HAPV3|HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.              |0        |Seguros                       |Novo Mercado     |0.5289              |7.1            |Bom             |49,114,400,000 |
|ALOS3|ALLOS S.A.                                              |0.021    |Shoppings                     |Novo Mercado     |0.3727              |0              |Não Recomendada |14,703,000,000 |
|LVTC3|na                                                      |0.0036   |na                            |na               |-0.1031             |-1             |na              |644,883,000    |
|RDOR3|REDE D'OR SÃO LUIZ S.A.                                 |0.0146   |Serviços Hospitalares         |Novo Mercado     |0.4175              |6.8            |Regular         |22,773,400,000 |
|ASAI3|SENDAS DISTRIBUIDORA S.A.                               |0.0035   |Varejo - Alimentício          |Novo Mercado     |0.2203              |7.5            |Bom             |4,630,000,000  |
|GOLL4|GOL LINHAS AEREAS INTELIGENTES SA                       |0        |Aéreo                         |Nível 2          |0.1209              |7              |Bom             |-22,029,000,000|
|PGMN3|na                                                      |0.0997   |na                            |na               |0.1427              |-1             |na              |2,557,500,000  |
|COCE3|CIA ENERG CEARA - COELCE                                |0.006    |Energia - Distribuição        |Tradicional      |0.1415              |0              |Não Recomendada |4,191,150,000  |
|COCE5|CIA ENERG CEARA - COELCE                                |0.0072   |Energia - Distribuição        |Tradicional      |0.1415              |0              |Não Recomendada |4,191,150,000  |
|MDIA3|M DIAS BRANCO SA IND E COM DE ALIMENTOS                 |0.0153   |Alimentos - Variados          |Novo Mercado     |0.1598              |7.3            |Bom             |7,604,690,000  |
|BNBR3|BANCO DO NORDESTE                                       |0.0528   |Bancos                        |Tradicional      |0.1502              |7.3            |Bom             |10,708,600,000 |
|SIMH3|SIMPAR S.A.                                             |0.0024   |Holding                       |Novo Mercado     |0.5738              |na             |na              |3,498,440,000  |
|ABEV3|AMBEV S.A                                               |0.058    |Bebidas                       |Tradicional      |0.1211              |7.7            |Bom             |78,969,300,000 |
